,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
953,Žvėrynas,Kęstučio g.,500,"8,03",2,62.23,2,3
954,Senamiestis,Šv. Stepono g.,460,"10,22",2,45,1,3
955,Naujamiestis,Mindaugo g.,550,"7,91",3,69.5,2,7
956,Naujamiestis,Gerosios Vilties g.,280,"6,51",2,43,5,5
957,Senamiestis,M. Daukšos g.,400,"11,11",2,36,1,3
958,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
959,Lazdynai,Architektų g.,350,"5,47",3,64,10,12
960,Antakalnis,Antakalnio g.,250,"9,26",1,27,6,9
961,Fabijoniškės,S. Stanevičiaus g.,380,"6,33",3,60,2,9
962,Baltupiai,Juozo Balčikonio g.,490,"10,89",2,45,6,9
963,Žirmūnai,Juozo Balčikonio g.,490,"10,89",2,45,6,9
964,Naujininkai,Šaltkalvių g.,180,"6,67",1,27,1,9
965,Užupis,Polocko g.,800,"10,00",3,80,3,3
966,Viršuliškės,Viršuliškių g.,250,"7,14",1,35,4,9
967,Šiaurės miestelis,S. Žukausko g.,400,"10,81",2,37,4,6
968,Pašilaičiai,Pavilnionių g.,330,"9,43",2,35,5,7
969,Fabijoniškės,Gedvydžių g.,300,"5,56",2,54,7,9
970,Senamiestis,A. Vivulskio g.,450,"15,00",1,30,11,12
971,Naujamiestis,A. Vivulskio g.,450,"15,00",1,30,11,12
972,Šnipiškės,Konstitucijos pr.,600,"14,57",2,41.18,7,29
973,Užupis,Subačiaus g.,220,"7,33",1,30,0,4
974,Šnipiškės,Rinktinės g.,490,"7,78",3,63,4,9
975,Žirmūnai,Kalvarijų g.,449,"7,74",2,58,9,14
976,Baltupiai,Kalvarijų g.,450,"7,76",2,58,9,14
977,Baltupiai,Kalvarijų g.,450,"7,76",2,58,9,14
978,Naujamiestis,V. Pietario g.,400,"8,89",2,45,1,5
979,Pilaitė,I. Simonaitytės g.,320,"10,67",1,30,1,6
980,Žirmūnai,Minties g.,300,"9,38",1,32,1,5
981,Žirmūnai,Minties g.,300,"9,38",1,32,1,5
982,Šeškinė,Šeškinės g.,300,"6,00",2,49.98,2,5
983,Naujamiestis,Vytenio g.,400,"5,13",2,78,5,5
984,Pilaitė,Priegliaus g.,370,"6,73",2,55,6,7
985,Fabijoniškės,Ateities g.,320,"8,42",1,38,4,5
986,Fabijoniškės,Ateities g.,320,"8,42",1,38,4,5
987,Pašilaičiai,Ukmergės g.,400,"6,35",2,63,3,8
988,Fabijoniškės,S. Stanevičiaus g.,250,"10,00",1,25,9,16
989,Baltupiai,S. Stanevičiaus g.,250,"10,00",1,25,10,16
990,Senamiestis,Pamėnkalnio g.,600,"7,79",2,77,3,6
991,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
992,Senamiestis,Bokšto g.,1100,"20,00",2,55,2,4
993,Žvėrynas,Studentų g.,370,"8,81",2,42,3,5
994,Senamiestis,Šiaulių g.,500,"11,90",2,42,2,2
995,Šnipiškės,Verkių g.,450,"8,04",2,56,1,5
996,Senamiestis,Vokiečių g.,600,"8,82",2,68,5,5
997,Šnipiškės,Linkmenų g.,370,"12,33",1,30,2,5
998,Naujoji Vilnia,Pramonės g.,165,"7,50",1,22,2,7
999,Senamiestis,Literatų g.,500,"11,11",2,45,3,3
1000,Senamiestis,Teatro g.,1300,"6,63",4,196,5,6
1001,Senamiestis,Mindaugo g.,400,"14,81",1,27,2,7
1002,Senamiestis,A. Jakšto g.,1000,"11,49",3,87,2,3
1003,Senamiestis,A. Jakšto g.,1000,"11,49",3,87,2,3
1004,Justiniškės,Rygos g.,350,"9,72",1,36,2,5
1005,Lazdynėliai,Jonažolių g.,470,"7,52",4,62.5,8,9
1006,Šnipiškės,Giedraičių g.,390,"12,21",1,31.93,2,5
1007,Naujamiestis,Savanorių pr.,360,"14,40",1,25,2,5
1008,Naujamiestis,Savanorių pr.,550,"11,00",2,50,11,11
