,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
1181,Naujamiestis,Mindaugo g.,500,"12,50",2,40,5,5
1182,Naujamiestis,Mindaugo g.,500,"13,16",2,38,5,5
1183,Senamiestis,Kauno g.,450,"11,72",2,38.4,5,6
1184,Užupis,Subačiaus g.,450,"12,86",2,35,2,4
1185,Užupis,Subačiaus g.,450,"12,86",1,35,2,4
1186,Antakalnis,Antakalnio g.,800,"8,04",3,99.52,3,13
1187,Senamiestis,A. Jakšto g.,800,"10,00",3,80,4,5
1188,Antakalnis,Antakalnio g.,800,"8,00",3,100,3,13
1189,Antakalnis,Antakalnio g.,800,"8,00",3,100,2,13
1190,Justiniškės,Taikos g.,130,"9,29",1,14,6,9
1191,Šeškinė,Buivydiškių g.,330,"8,92",1,37,6,12
1192,Šnipiškės,Kalvarijų g.,570,"9,05",3,63,3,5
1193,Senamiestis,Vingrių g.,950,"15,83",3,60,2,3
1194,Senamiestis,Jogailos g.,750,"16,67",2,45,3,3
1195,Senamiestis,A. Jakšto g.,700,"13,73",2,51,2,6
1196,Senamiestis,A. Jakšto g.,1000,"10,64",3,94,6,6
1197,Senamiestis,Aušros Vartų g.,750,"9,04",2,83,2,2
1198,Senamiestis,Aušros Vartų g.,1200,"10,72",3,111.92,3,3
1199,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1200,Fabijoniškės,Fabijoniškių g.,350,"6,86",2,51,6,9
1201,Antavilis,J. Biliūno g.,150,"11,54",1,13,2,3
1202,Pašilaičiai,Dociškių g.,430,"7,96",2,54,2,6
1203,Santariškės,Fizikų g.,470,"5,53",2,85,8,9
1204,Santariškės,Fizikų g.,470,"5,53",3,85,8,9
1205,Visoriai,Fizikų g.,470,"5,53",3,85,8,9
1206,Šnipiškės,Žalgirio g.,650,"12,79",3,50.83,6,8
1207,Valakampiai,Elniakampio g.,750,"13,89",3,54,2,3
1208,Valakampiai,Elniakampio g.,700,"12,96",2,54,2,3
1209,Senamiestis,Mindaugo g.,750,"10,14",3,74,5,7
1210,Naujininkai,Šaltkalvių g.,245,"8,75",1,28,2,12
1211,Naujamiestis,M. Valančiaus g.,1300,"16,25",3,80,4,5
1212,Senamiestis,Trakų g.,750,"6,82",3,110,3,4
1213,Senamiestis,Totorių g.,650,"14,44",2,45,1,2
1214,Senamiestis,Šiaulių g.,950,"11,73",2,81,1,4
1215,Antakalnis,O. Milašiaus g.,370,"10,57",2,35,2,5
1216,Žirmūnai,O. Milašiaus g.,350,"10,00",1,35,2,5
1217,Antakalnis,O. Milašiaus g.,350,"10,00",1,35,2,5
1218,Naujamiestis,Savanorių pr.,1400,"12,61",3,111,17,27
1219,Žvėrynas,Studentų g.,289,"14,45",1,20,1,4
1220,Žvėrynas,Saltoniškių g.,2500,"11,52",4,217,10,10
1221,Žvėrynas,Saltoniškių g.,2500,"11,52",4,217,10,10
1222,Senamiestis,Didžioji g.,1300,"13,00",3,100,4,4
1223,Senamiestis,Didžioji g.,700,"11,67",2,60,3,4
1224,Baltupiai,Juozo Balčikonio g.,470,"7,58",2,62,3,5
1225,Senamiestis,Gedimino pr.,600,"10,16",3,59.03,2,5
1226,Šeškinė,Musninkų g.,150,"10,71",1,14,1,5
1227,Naujininkai,Tarpkalnio g.,240,"7,27",1,33,1,2
1228,Naujoji Vilnia,Pramonės g.,250,"8,62",1,29,4,4
1229,Naujoji Vilnia,Pramonės g.,250,"8,62",1,29,4,4
1230,Senamiestis,Šiaulių g.,900,"10,98",2,82,1,4
1231,Žvėrynas,Pieninės g.,549,"13,73",2,40,1,6
1232,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1233,Antakalnis,P. Vileišio g.,390,"8,30",2,47,1,5
1234,Senamiestis,Pamėnkalnio g.,400,"17,25",1,23.19,2,3
1235,Naujamiestis,Savanorių pr.,650,"8,13",3,80,3,8
1236,Naujamiestis,Savanorių pr.,600,"8,57",2,70,8,8
1237,Šnipiškės,Kalvarijų g.,300,"11,11",1,27,2,9
1238,Naujamiestis,Savanorių pr.,550,"11,00",2,50,2,10
1239,Naujininkai,Dariaus ir Girėno g.,200,"9,52",1,21,9,9
1240,Filaretai,Peteliškių g.,550,"11,00",2,50,2,5
1241,Šiaurės miestelis,Verkių g.,420,"13,13",2,32,6,7
1242,Žirmūnai,Tuskulėnų g.,400,"14,81",2,27,3,9
1243,Senamiestis,Pilies g.,450,"8,49",2,53,2,4
1244,Naujamiestis,Gedimino pr.,750,"8,92",2,84.06,3,4
1245,Senamiestis,Gedimino pr.,750,"8,92",2,84.06,3,4
1246,Pašilaičiai,Perkūnkiemio g.,410,"7,88",2,52,6,8
1247,Senamiestis,Latako g.,750,"15,96",2,47,2,3
1248,Senamiestis,Latako g.,750,"15,96",2,47,2,3
1249,Senamiestis,Krivių g.,799,"11,41",3,70,3,4
1250,Naujamiestis,S. Konarskio g.,499,"7,80",2,64,4,8
1251,Senamiestis,Raugyklos g.,299,"9,97",1,30,3,4
1252,Senamiestis,V. Mykolaičio-Putino g.,650,"10,83",2,60,2,6
1253,Senamiestis,Gėlių g.,300,"14,18",1,21.16,1,4
1254,Šnipiškės,Konstitucijos pr.,800,"10,53",2,76,20,27
1255,Senamiestis,Šaltinio g.,910,"11,67",3,78,2,7
1256,Naujininkai,Tyzenhauzų g.,220,"6,88",1,32,8,12
1257,Naujamiestis,Smolensko g.,550,"15,48",2,35.52,3,7
1258,Naujamiestis,Kauno g.,650,"11,21",2,58,4,7
1259,Naujamiestis,K. Donelaičio g.,500,"9,33",2,53.59,2,9
1260,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1261,Baltupiai,Kolektyvo g.,400,"13,33",2,30,2,3
1262,Naujininkai,Šaltkalvių g.,260,"8,67",1,30,2,5
1263,Senamiestis,Žygimanto Liauksmino g.,300,"12,00",1,25,3,4
1264,Naujoji Vilnia,Pramonės g.,110,"6,11",1,18,4,7
1265,Šnipiškės,Kalvarijų g.,400,"8,09",2,49.43,1,12
1266,Santariškės,Bajorų kel.,420,"8,08",2,52,3,4
1267,Naujamiestis,S. Konarskio g.,500,"7,81",2,64,4,6
1268,Naujamiestis,Šermukšnių g.,500,"8,33",2,60,3,4
1269,Naujamiestis,Algirdo g.,700,"9,72",3,72,2,5
1270,Šnipiškės,Kalvarijų g.,499,"8,32",2,60,4,5
1271,Žirmūnai,Kareivių g.,260,"14,44",1,18,1,5
1272,Šnipiškės,Rinktinės g.,410,"13,99",1,29.3,4,5
1273,Senamiestis,Pilies g.,1000,"10,00",3,100,2,3
1274,Senamiestis,Dysnos g.,1200,"10,91",3,110,2,2
1275,Žvėrynas,Latvių g.,2000,"13,33",3,150,3,4
1276,Senamiestis,Vokiečių g.,1250,"13,02",3,96,4,4
1277,Senamiestis,Vokiečių g.,1250,"13,02",3,96,4,4
1278,Šnipiškės,Rinktinės g.,350,"12,50",1,28,1,3
1279,Žirmūnai,Rinktinės g.,350,"12,50",1,28,1,3
1280,Žirmūnai,Kalvarijų g.,320,"13,91",1,23,2,3
1281,Žirmūnai,Kalvarijų g.,320,"13,33",1,24,1,3
1282,Senamiestis,Totorių g.,500,"12,50",2,40,4,4
1283,Senamiestis,Šv. Stepono g.,550,"12,22",2,45,1,4
1284,Šnipiškės,Jurgio Lebedžio g.,400,"17,39",1,23,2,5
1285,Antakalnis,P. Vileišio g.,300,"5,88",2,51,1,5
1286,Senamiestis,Vingrių g.,1300,"12,38",4,105,2,2
1287,Senamiestis,Trakų g.,600,"12,80",2,46.88,2,2
1288,Šnipiškės,Piromonto g.,350,"12,07",1,29,5,9
1289,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1290,Lazdynėliai,Lazdynų g.,450,"8,49",2,53,2,4
1291,Lazdynai,Lazdynų g.,450,"8,49",2,53,2,4
1292,Senamiestis,Šv. Ignoto g.,650,"11,33",2,57.37,3,4
1293,Senamiestis,Šv. Jono g.,950,"11,88",3,80,1,3
1294,Senamiestis,Savičiaus g.,900,"16,07",3,56,2,3
1295,Senamiestis,Pranciškonų g.,600,"11,54",2,52,1,3
1296,Senamiestis,Plačioji g.,700,"15,07",2,46.46,1,3
1297,Senamiestis,Plačioji g.,600,"25,00",1,24,1,3
1298,Senamiestis,Labdarių g.,950,"15,83",3,60,2,4
1299,Šeškinė,Šeškinės g.,400,"9,20",2,43.5,3,6
1300,Šeškinė,Šeškinės g.,420,"9,68",2,43.4,3,6
1301,Senamiestis,Šv. Stepono g.,500,"16,67",2,30,1,4
1302,Žirmūnai,Piromonto g.,550,"12,95",2,42.47,6,9
1303,Žirmūnai,Piromonto g.,550,"12,91",2,42.61,5,9
1304,Baltupiai,Didlaukio g.,400,"12,50",1,32,3,5
1305,Šnipiškės,A. Juozapavičiaus g.,1000,"10,87",3,92,4,11
1306,Senamiestis,A. Juozapavičiaus g.,1000,"10,87",3,92,4,11
1307,Naujamiestis,Vytenio g.,380,"7,60",2,50,2,3
1308,Naujamiestis,Vytenio g.,400,"8,00",2,50,2,3
1309,Naujininkai,Eišiškių pl.,200,"11,11",1,18,2,2
1310,Naujininkai,Eišiškių pl.,250,"11,36",1,22,2,2
1311,Pašilaičiai,Dociškių g.,420,"6,77",2,62,2,6
1312,Naujamiestis,Gerosios Vilties g.,280,"6,22",2,45,3,5
1313,Senamiestis,M. K. Paco g.,999,"9,99",4,100,4,4
1314,Antakalnis,M. K. Paco g.,999,"9,99",4,100,4,4
1315,Pašilaičiai,Ukmergės g.,450,"7,14",2,63,3,8
1316,Naujamiestis,Naugarduko g.,400,"10,53",2,38,2,4
1317,Senamiestis,Labdarių g.,600,"21,43",1,28,2,4
1318,Senamiestis,A. Jakšto g.,1000,"11,24",3,89,5,7
1319,Senamiestis,Olimpiečių g.,650,"15,29",2,42.5,4,4
1320,Senamiestis,Olimpiečių g.,650,"15,29",2,42.5,4,4
1321,Šnipiškės,Olimpiečių g.,650,"15,29",2,42.5,4,4
1322,Šnipiškės,Olimpiečių g.,650,"15,32",2,42.43,4,4
1323,Senamiestis,Olimpiečių g.,650,"15,32",2,42.43,4,4
1324,Salininkai,Kalviškių g.,300,"8,33",2,36,2,3
1325,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1326,Senamiestis,L. Stuokos-Gucevičiaus g.,800,"10,67",2,75,1,2
1327,Senamiestis,Bazilijonų g.,900,"13,43",3,67,3,3
1328,Senamiestis,Bazilijonų g.,860,"10,75",3,80,3,3
1329,Senamiestis,Aušros Vartų g.,650,"8,13",2,80,2,2
1330,Šnipiškės,A. Juozapavičiaus g.,1200,"13,08",3,91.74,5,12
1331,Senamiestis,A. Goštauto g.,580,"10,36",2,56,2,6
1332,Senamiestis,Subačiaus g.,240,"10,43",1,23,3,12
1333,Viršuliškės,Viršuliškių g.,200,"5,00",2,40,3,9
1334,Senamiestis,M. K. Čiurlionio g.,2500,"11,90",6,210,2,2
1335,Naujamiestis,Savanorių pr.,499,"7,80",2,64,4,7
1336,Justiniškės,Laisvės pr.,420,"10,77",2,39,2,5
1337,Viršuliškės,Viršuliškių g.,330,"6,73",2,49,1,9
1338,Senamiestis,Gedimino pr.,800,"11,76",2,68,3,3
1339,Šnipiškės,Kalvarijų g.,600,"8,96",3,67,2,7
1340,Žemieji Paneriai,Vaduvos g.,240,"5,85",1,41,1,5
1341,Fabijoniškės,S. Stanevičiaus g.,425,"7,30",2,58.18,4,5
1342,Naujamiestis,Žemaitės g.,450,"14,73",1,30.54,4,9
1343,Senamiestis,Vilniaus g.,650,"12,05",2,53.92,2,3
1344,Senamiestis,Šv. Ignoto g.,1800,"16,36",4,110,3,3
1345,Senamiestis,Šv. Ignoto g.,1800,"16,36",4,110,3,3
1346,Senamiestis,Totorių g.,850,"7,80",3,109,2,2
1347,Senamiestis,Gynėjų g.,1000,"19,23",2,52,3,9
1348,Naujininkai,Pelesos g.,179,"8,95",1,20,4,5
1349,Senamiestis,Antano Tumėno g.,1800,"12,00",2,150,17,18
1350,Šeškinė,Šeškinės g.,420,"9,77",2,43,3,6
1351,Pavilnys,Pavilnio Sodų 17-oji g.,420,"9,77",2,43,1,1
1352,Pavilnys,Pavilnio Sodų 17-oji g.,420,"9,77",2,43,1,1
1353,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1354,Antakalnis,L. Sapiegos g.,950,"10,67",3,89,1,5
1355,Antakalnis,P. Vileišio g.,350,"7,61",2,46,2,5
1356,Senamiestis,Polocko g.,700,"12,73",2,55,2,3
1357,Senamiestis,K. Donelaičio g.,750,"10,00",2,75,6,9
1358,Naujamiestis,K. Donelaičio g.,750,"10,00",2,75,6,9
1359,Žirmūnai,Tuskulėnų g.,1000,"6,67",4,150,3,4
1360,Žvėrynas,A. Mickevičiaus g.,1250,"11,90",4,105,3,6
1361,Senamiestis,Savičiaus g.,850,"10,63",3,80,3,3
1362,Šnipiškės,Lvovo g.,450,"10,71",2,42,2,2
1363,Šeškinė,Buivydiškių g.,500,"10,00",3,50,7,9
1364,Karoliniškės,Loretos Asanavičiūtės g.,400,"10,00",2,40,3,4
1365,Šnipiškės,Piromonto g.,420,"14,00",1,30,1,7
1366,Lazdynėliai,Lazdynėlių g.,650,"13,83",2,47,1,4
1367,Antakalnis,Šilo g.,650,"9,42",2,69,5,5
1368,Karoliniškės,Dariaus Gerbutavičiaus g.,480,"7,50",3,64,9,9
1369,Pašilaičiai,Laisvės pr.,399,"7,39",2,54,3,5
1370,Grigiškės,Lentvario g.,450,"9,00",2,50,2,4
1371,Naujamiestis,M. K. Čiurlionio g.,600,"10,34",2,58,4,5
1372,Fabijoniškės,Salomėjos Nėries g.,280,"7,37",1,38,2,5
1373,Senamiestis,Vingrių g.,1600,"13,68",3,117,2,5
1374,Senamiestis,Vingrių g.,1600,"13,68",3,117,2,5
1375,Žvėrynas,A. Mickevičiaus g.,400,"13,79",2,29,1,3
1376,Žirmūnai,Rinktinės g.,300,"4,69",3,64,6,9
1377,Šnipiškės,Rinktinės g.,300,"4,69",3,64,6,9
1378,Šnipiškės,Rinktinės g.,300,"4,69",2,64,6,9
1379,Šnipiškės,Rinktinės g.,300,"4,69",3,64,6,9
1380,Žirmūnai,Sporto g.,600,"9,18",2,65.35,4,5
1381,Šnipiškės,Raitininkų g.,600,"12,50",2,48,2,7
1382,Senamiestis,Plačioji g.,800,"17,02",2,47,2,3
1383,Senamiestis,Plačioji g.,800,"17,02",2,47,2,3
1384,Šnipiškės,Kalvarijų g.,320,"9,70",1,33,1,5
1385,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1386,Naujamiestis,Gerosios Vilties g.,250,"7,81",1,32,3,5
1387,Senamiestis,Mindaugo g.,900,"10,33",3,87.12,4,9
1388,Naujamiestis,Mindaugo g.,900,"10,33",3,87.12,4,9
1389,Justiniškės,Laisvės pr.,450,"10,71",2,42,3,5
1390,Naujamiestis,Gedimino pr.,800,"7,84",3,102,6,6
1391,Senamiestis,Etmonų g.,1300,"14,41",3,90.22,3,5
1392,Žvėrynas,Stumbrų g.,650,"10,83",3,60,2,5
1393,Fabijoniškės,Fabijoniškių g.,380,"6,23",3,61,7,9
1394,Antakalnis,Kregždžių g.,180,"9,00",1,20,1,3
1395,Žirmūnai,Žirmūnų g.,1000,"6,25",4,160,3,4
1396,Senamiestis,Šiaulių g.,1700,"18,09",3,94,2,4
1397,Lazdynai,Šiltnamių g.,320,"11,43",1,28,1,5
1398,Žvėrynas,Latvių g.,2000,"14,29",4,140,3,4
1399,Žvėrynas,Latvių g.,2000,"14,29",3,140,3,4
1400,Senamiestis,Gedimino pr.,800,"7,62",3,105,6,6
1401,Senamiestis,A. Strazdelio g.,1100,"15,07",3,73,2,4
1402,Senamiestis,Subačiaus g.,1100,"15,07",3,73,2,4
1403,Senamiestis,S. Skapo g.,520,"8,00",2,65,1,3
1404,Fabijoniškės,Salomėjos Nėries g.,285,"7,50",1,38,2,5
1405,Šnipiškės,Konstitucijos pr.,800,"11,43",2,70,23,27
1406,Senamiestis,Odminių g.,600,"14,29",2,42,2,3
1407,Senamiestis,Konstitucijos pr.,1700,"15,74",3,108,2,3
1408,Senamiestis,Aguonų g.,700,"13,59",2,51.5,2,5
1409,Šnipiškės,Konstitucijos pr.,800,"11,43",2,70,23,27
1410,Senamiestis,Aguonų g.,1200,"13,37",3,89.76,4,5
1411,Senamiestis,J. Basanavičiaus g.,750,"12,30",3,61,5,5
1412,Senamiestis,J. Basanavičiaus g.,599,"13,02",2,46,4,4
1413,Senamiestis,Trakų g.,1480,"15,10",3,98,2,3
1414,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1415,Antakalnis,Nemenčinės pl.,650,"8,13",2,80,1,2
1416,Senamiestis,Šv. Mikalojaus g.,480,"9,80",2,49,2,3
1417,Naujamiestis,Kauno g.,600,"8,96",3,67,1,1
1418,Užupis,Polocko g.,1400,"16,47",3,85,1,3
1419,Naujamiestis,Smolensko g.,1600,"10,81",4,148,4,4
1420,Naujamiestis,Smolensko g.,1600,"10,81",4,148,4,4
1421,Senamiestis,J. Basanavičiaus g.,400,"9,66",1,41.42,2,3
1422,Senamiestis,Didžioji g.,700,"11,67",2,60,3,4
1423,Žirmūnai,Verkių g.,460,"13,14",2,35,2,7
1424,Senamiestis,Savičiaus g.,550,"8,33",2,66,1,3
1425,Senamiestis,V. Mykolaičio-Putino g.,650,"10,83",2,60,2,5
1426,Senamiestis,Vingrių g.,1300,"14,34",4,90.65,3,4
1427,Naujoji Vilnia,Pergalės g.,130,"8,13",1,16,4,4
1428,Senamiestis,Aušros Vartų g.,1800,"18,75",4,96,1,3
1429,Senamiestis,Markučių g.,2000,"9,22",5,217,0,3
1430,Senamiestis,Mindaugo g.,2000,"19,05",3,105,4,4
1431,Senamiestis,Vilniaus g.,650,"13,54",1,48,2,3
1432,Naujamiestis,Suvalkų g.,950,"11,88",3,80,2,3
1433,Naujamiestis,Gynėjų g.,750,"7,98",3,94,5,9
1434,Šnipiškės,Konstitucijos pr.,1500,"13,27",3,113,23,27
1435,Senamiestis,Sluškų g.,1200,"12,00",3,100,2,4
1436,Senamiestis,Etmonų g.,1300,"13,40",3,97,3,5
1437,Naujamiestis,Dainavos g.,700,"14,00",2,50,3,5
1438,Naujamiestis,Mindaugo g.,650,"11,61",2,56,3,6
1439,Užupis,Peteliškių g.,850,"13,08",3,65,3,5
1440,Lazdynai,Architektų g.,110,"9,17",1,12,1,5
1441,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1442,Senamiestis,Aušros Vartų g.,300,"8,82",1,34,2,2
1443,Šnipiškės,Kalvarijų g.,180,"5,14",2,35,1,2
1444,Pilaitė,Tolminkiemio g.,130,"8,67",1,15,3,9
1445,Žirmūnai,Žirmūnų g.,100,"7,14",1,14,3,9
1446,Šeškinė,Dūkštų g.,120,"7,06",1,17,3,5
1447,Šeškinė,Buivydiškių g.,330,"9,17",2,36,1,5
1448,Senamiestis,A. Goštauto g.,1700,"21,25",3,80,6,6
1449,Pašilaičiai,Budiniškių g.,380,"13,57",1,28,3,5
1450,Fabijoniškės,P. Žadeikos g.,270,"7,50",1,36,3,5
1451,Senamiestis,Pranciškonų g.,610,"20,33",2,30,3,4
1452,Naujamiestis,M. K. Čiurlionio g.,1500,"14,29",4,105,2,4
1453,Naujamiestis,Gerosios Vilties g.,420,"7,00",2,60,2,9
1454,Naujamiestis,Gerosios Vilties g.,420,"7,00",2,60,2,9
1455,Senamiestis,Olimpiečių g.,1000,"23,26",2,43,1,4
1456,Senamiestis,Odminių g.,700,"10,45",2,67,4,4
1457,Lazdynai,Erfurto g.,380,"7,60",2,50,6,9
1458,Viršuliškės,Jurgio Matulaičio a.,375,"9,00",2,41.67,5,8
1459,Užupis,Manufaktūrų g.,450,"12,86",1,35,1,6
1460,Užupis,Filaretų g.,450,"9,18",2,49,1,6
1461,Fabijoniškės,Fabijoniškių g.,130,"10,83",1,12,16,24
1462,Pašilaičiai,Sviliškių g.,450,"7,38",2,61,5,9
1463,Senamiestis,Pylimo g.,600,"14,29",2,42,2,3
1464,Senamiestis,Aušros Vartų g.,690,"10,78",2,64,2,3
1465,Senamiestis,J. Jasinskio g.,800,"10,81",3,74,3,3
1466,Žirmūnai,Kalvarijų g.,320,"12,18",1,26.27,1,3
1467,Žirmūnai,Šeimyniškių g.,899,"8,56",4,105,3,6
1468,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1469,Karoliniškės,Loretos Asanavičiūtės g.,440,"9,36",2,47,3,5
1470,Karoliniškės,Loretos Asanavičiūtės g.,440,"9,36",2,47,3,5
1471,Senamiestis,Bazilijonų g.,470,"18,08",1,26,2,3
1472,Markučiai,Manufaktūrų g.,500,"13,51",1,37,2,5
1473,Antakalnis,Lyglaukių g.,1500,"10,87",4,138,1,1
1474,Senamiestis,Teatro g.,1300,"8,62",3,150.75,3,5
1475,Antakalnis,Antakalnio g.,380,"10,00",2,38,4,5
1476,Senamiestis,Žygimanto Liauksmino g.,330,"13,75",1,24,2,3
1477,Senamiestis,Gedimino pr.,1800,"16,51",4,109,4,4
1478,Pilaitė,Pajautos g.,270,"7,50",1,36,1,5
1479,Senamiestis,Latako g.,550,"11,70",2,47,3,3
1480,Šnipiškės,Konstitucijos pr.,600,"9,68",2,62,8,27
1481,Senamiestis,Vokiečių g.,1250,"13,02",3,96,4,4
1482,Senamiestis,Bokšto g.,700,"10,00",2,70,1,3
1483,Antakalnis,Gelvadiškių Sodų 3-ioji g.,400,"5,63",2,71,1,1
1484,Senamiestis,S. Skapo g.,750,"12,03",2,62.32,3,3
1485,Markučiai,Balandžių g.,250,"4,55",3,55,2,2
1486,Antakalnis,V. Grybo g.,450,"9,15",2,49.19,4,10
1487,Šnipiškės,Kernavės g.,620,"9,69",3,64,3,7
1488,Pilaitė,Nidos g.,725,"8,43",4,86,3,9
1489,Senamiestis,Šv. Ignoto g.,2500,"17,48",4,143,3,3
1490,Žirmūnai,Žirmūnų g.,135,"9,00",1,15,4,5
1491,Naujamiestis,Z. Sierakausko g.,380,"14,62",1,26,1,3
1492,Lazdynai,Architektų g.,370,"8,22",2,45,1,6
1493,Senamiestis,Pranciškonų g.,600,"9,84",2,61,1,2
1494,Šnipiškės,Krokuvos g.,750,"8,82",3,85,8,11
1495,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1496,Senamiestis,Gedimino pr.,1950,"9,29",5,210,3,5
1497,Senamiestis,Ankštoji g.,1950,"9,29",5,210,3,5
1498,Šnipiškės,Kalvarijų g.,350,"6,73",2,52,2,2
1499,Lazdynėliai,Neužmirštuolių g.,800,"5,19",5,154,2,3
1500,Senamiestis,Šiaulių g.,500,"9,62",2,52,2,2
1501,Senamiestis,Mėsinių g.,2000,"9,48",5,211,2,2
1502,Senamiestis,Vašingtono a.,1800,"8,82",5,204.12,5,5
1503,Senamiestis,Liejyklos g.,720,"9,10",3,79.11,2,2
1504,Senamiestis,Savičiaus g.,1100,"11,34",4,97,4,4
1505,Senamiestis,Šv. Ignoto g.,549,"15,69",2,35,1,3
1506,Naujamiestis,M. K. Čiurlionio g.,1550,"14,76",4,105,3,4
1507,Žvėrynas,A. Mickevičiaus g.,1500,"14,85",4,101,2,2
1508,Senamiestis,Gedimino pr.,1400,"17,89",3,78.24,3,4
1509,Pašilaičiai,Pavilnionių g.,499,"7,68",2,65,4,8
1510,Žvėrynas,Latvių g.,1320,"14,83",3,89,1,4
1511,Šnipiškės,Kalvarijų g.,250,"12,50",1,20,2,5
1512,Užupis,Peteliškių g.,1100,"12,04",4,91.34,3,5
1513,Šnipiškės,Žalgirio g.,650,"10,57",2,61.5,7,8
1514,Naujamiestis,Geležinio Vilko g.,200,"8,70",1,23,1,5
1515,Šiaurės miestelis,S. Žukausko g.,600,"7,82",3,76.69,2,8
1516,Karoliniškės,Loretos Asanavičiūtės g.,130,"7,65",1,17,2,5
1517,Senamiestis,Sodų g.,1200,"24,00",2,50,3,4
1518,Senamiestis,Gedimino pr.,1800,"13,74",5,131,4,4
1519,Naujoji Vilnia,Gerovės g.,220,"7,86",1,28,1,5
1520,Avižieniai,Ežerėlių g.,800,"15,09",2,53,1,2
1521,Senamiestis,Mėsinių g.,2000,"9,47",6,211.2,1,2
1522,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1523,Naujamiestis,Savanorių pr.,450,"12,86",1,35,2,10
1524,Naujamiestis,A. Rotundo g.,480,"9,60",2,50,1,2
1525,Užupis,Malūnų g.,900,"16,07",2,56,2,3
1526,Senamiestis,Malūnų g.,900,"16,07",2,56,2,3
1527,Užupis,Malūnų g.,850,"18,09",2,47,1,3
1528,Pilaitė,I. Simonaitytės g.,430,"7,17",2,60,3,4
1529,Pašilaičiai,Rygos g.,270,"7,50",1,36,6,9
1530,Naujamiestis,Statybininkų g.,520,"15,76",1,33,4,9
1531,Naujamiestis,Birželio 23-iosios g.,520,"15,76",1,33,2,9
1532,Šnipiškės,Konstitucijos pr.,400,"8,89",2,45,2,16
1533,Šeškinė,Musninkų g.,300,"5,77",2,52,6,9
1534,Naujamiestis,Vytenio g.,480,"10,67",2,45,4,5
1535,Senamiestis,Subačiaus g.,500,"12,05",2,41.5,1,3
1536,Senamiestis,Gedimino pr.,1550,"18,60",3,83.33,4,4
1537,Šnipiškės,Kalvarijų g.,150,"6,25",1,24,2,9
1538,Lazdynėliai,Bukčių g.,130,"6,50",1,20,1,1
1539,Senamiestis,Šv. Kazimiero g.,700,"18,01",1,38.87,3,3
1540,Senamiestis,Barboros Radvilaitės g.,450,"8,65",1,52,1,2
1541,Naujamiestis,A. Rotundo g.,450,"8,18",2,55,2,3
1542,Saulėtekis,Saulėtekio al.,250,"2,78",4,90,1,16
1543,Antakalnis,Antakalnio g.,180,"12,00",1,15,5,5
1544,Žirmūnai,Tuskulėnų g.,490,"7,66",4,64,1,9
