,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
2453,Šnipiškės,Giedraičių g.,78000,1755,2,44.44,1,10
2454,Užupis,Užupio g.,135000,3506,1,38.51,1,1
2455,Užupis,Užupio g.,125000,3553,1,35.18,1,1
2456,Salininkai,Kalviškių g.,53000,1128,2,47,3,3
2457,Bajorai,Bajorų kel.,94999,2291,2,41.47,4,4
2458,Bajorai,Bajorų kel.,94999,2262,2,42,4,4
2459,Senamiestis,Krivių g.,249000,3000,3,83,1,4
2460,Žirmūnai,Rinktinės g.,69300,2119,1,32.71,2,9
2461,Šeškinė,Siesikų g.,62500,2100,1,29.76,4,9
2462,Žirmūnai,Trinapolio g.,139000,1550,4,89.67,4,10
2463,Senamiestis,L. Stuokos-Gucevičiaus g.,249000,2800,4,88.92,1,3
2464,Žirmūnai,Trinapolio g.,142000,1578,4,89.99,7,10
2465,Lazdynėliai,Jonažolių g.,119000,1768,3,67.3,3,7
2466,Pašilaičiai,Perkūnkiemio g.,89900,1499,2,59.97,5,8
2467,Antakalnis,Vytauto Žalakevičiaus g.,329000,3392,3,97,5,6
2468,Naujamiestis,J. Basanavičiaus g.,180000,1856,3,97,4,4
2469,Senamiestis,Malūnų g.,308750,3356,4,92,3,3
2470,Šnipiškės,Daugėliškio g.,110000,2556,2,43.04,6,6
2471,Šnipiškės,Kernavės g.,105000,2389,2,43.95,2,7
2472,Senamiestis,Naugarduko g.,147000,1905,3,77.17,3,4
2473,Naujamiestis,Naugarduko g.,147000,1905,3,77.17,3,4
2474,Šnipiškės,Kalvarijų g.,56000,1613,1,34.71,2,5
2475,Naujininkai,Zanavykų g.,65000,1490,2,43.63,4,4
2476,Vilkpėdė,Gerosios Vilties g.,117000,1887,3,62,2,6
2477,Naujamiestis,Gerosios Vilties g.,127500,1933,3,65.96,4,6
2478,Naujininkai,Dariaus ir Girėno g.,11050,181,3,61.11,1,1
2479,Senamiestis,A. Rotundo g.,780000,4671,4,167,6,6
2480,Senamiestis,Ligoninės g.,365000,2808,4,130,1,4
2481,Lazdynai,Architektų g.,77500,1250,3,62,5,5
2482,Senamiestis,J. Basanavičiaus g.,228000,1900,4,120,3,3
2483,Naujamiestis,Gerosios Vilties g.,117500,1903,3,61.73,3,6
2484,Naujamiestis,Gerosios Vilties g.,117000,1887,3,62,3,6
2485,Naujamiestis,Gerosios Vilties g.,98500,1921,2,51.28,3,6
2486,Naujamiestis,Gerosios Vilties g.,163000,2081,3,78.34,1,6
2487,Naujamiestis,Gerosios Vilties g.,152000,2064,3,73.65,1,6
2488,Markučiai,Subačiaus g.,109000,2249,2,48.47,3,3
2489,Senamiestis,Vašingtono a.,360000,1764,5,204.12,5,5
2490,Senamiestis,Etmonų g.,390000,6494,3,60.06,2,4
2491,Baltupiai,Jeronimo Ralio g.,60450,1950,2,31,5,5
2492,Senamiestis,Pranciškonų g.,197000,3243,2,60.75,1,2
2493,Šnipiškės,Kintų g.,81000,2401,1,33.74,1,6
2494,Šnipiškės,Kernavės g.,81000,2401,1,33.74,1,7
2495,Šnipiškės,Kernavės g.,140000,1987,3,70.46,3,6
2496,Šnipiškės,A. Juozapavičiaus g.,595000,3790,4,157,9,12
2497,Šnipiškės,Konstitucijos pr.,560788,4559,4,123,27,29
2498,Šnipiškės,Konstitucijos pr.,752840,4000,4,188.21,20,29
2499,Šnipiškės,Konstitucijos pr.,504906,3796,4,133,22,29
2500,Rasos,Liepkalnio g.,112000,1867,3,60,1,3
2501,Senamiestis,Liepkalnio g.,112000,1867,3,60,1,3
2502,Naujininkai,Liepkalnio g.,112000,1867,3,60,1,3
2503,Naujamiestis,Gerosios Vilties g.,104000,2120,2,49.05,1,6
2504,Naujamiestis,Gerosios Vilties g.,96500,2188,2,44.11,1,6
2505,Naujamiestis,Gerosios Vilties g.,95499,2252,2,42.4,1,6
2506,Senamiestis,T. Ševčenkos g.,92000,2190,2,42,4,4
2507,Naujamiestis,T. Ševčenkos g.,92000,2190,2,42,4,4
2508,Valakampiai,Svajonių g.,109900,1340,3,82,2,3
2509,Šnipiškės,Vito Gerulaičio g.,140000,2333,3,60,1,5
2510,Šiaurės miestelis,Vito Gerulaičio g.,140000,2333,3,60,1,5
2511,Žirmūnai,Vito Gerulaičio g.,140000,2333,3,60,1,5
2512,Baltupiai,Vito Gerulaičio g.,140000,2333,3,60,1,5
2513,Senamiestis,Šaltinio g.,268000,3454,3,77.6,2,7
2514,Naujamiestis,Vytenio g.,149000,1863,2,80,4,4
2515,Naujoji Vilnia,Parko g.,36000,1184,1,30.4,5,5
2516,Karoliniškės,Spaudos g.,55800,2015,1,27.69,7,16
2517,Lazdynėliai,Neužmirštuolių g.,121000,1330,4,91,3,4
2518,Naujininkai,Šv. Stepono g.,21700,948,1,22.89,1,2
2519,Naujininkai,Šv. Stepono g.,49400,339,2,145.73,1,2
2520,Naujininkai,Panevėžio g.,99000,1253,4,79,3,4
2521,Naujininkai,Panevėžio g.,69000,1500,2,46,2,4
2522,Pilaitė,Karaliaučiaus g.,79999,1818,2,44,4,5
2523,Šnipiškės,Linkmenų g.,135800,1700,4,79.86,2,9
2524,Šnipiškės,Kernavės g.,87000,2446,2,35.57,2,7
2525,Šnipiškės,Daugėliškio g.,152000,1848,4,82.26,5,7
2526,Senamiestis,Naugarduko g.,235000,3367,3,69.8,1,4
2527,Senamiestis,Pylimo g.,235000,3357,3,70,1,3
2528,Žvėrynas,Liepyno g.,149900,3222,2,46.52,4,6
2529,Naujoji Vilnia,A. Kojelavičiaus g.,77000,713,5,108,2,2
2530,Antakalnis,Nemenčinės pl.,175000,1496,4,117,3,6
2531,Valakampiai,Rato g.,179000,2754,2,65,2,3
2532,Grigiškės,Viržių g.,67000,1000,3,67,1,1
2533,Balsiai,Želmenų g.,104900,1110,4,94.5,1,2
2534,Antakalnis,Rudens g.,159000,1993,3,79.77,4,5
2535,Filaretai,Rudens g.,159000,1993,2,79.77,4,5
2536,Filaretai,Rudens g.,159000,1993,3,79.77,4,5
2537,Pilaitė,M. Mažvydo g.,62600,1610,2,38.89,5,5
2538,Pilaitė,M. Mažvydo g.,73500,1587,2,46.32,4,5
2539,Pilaitė,M. Mažvydo g.,86000,1577,3,54.52,4,5
2540,Pilaitė,M. Mažvydo g.,65900,1530,2,43.06,2,5
2541,Pilaitė,M. Mažvydo g.,93900,1543,3,60.87,3,5
2542,Pilaitė,M. Mažvydo g.,49000,1638,1,29.91,2,5
2543,Žvėrynas,Treniotos g.,180000,2539,3,70.89,1,2
2544,Žirmūnai,Raitininkų g.,375000,2913,4,128.72,2,6
2545,Pilaitė,M. Mažvydo g.,48300,1567,1,30.82,1,5
2546,Naujamiestis,A. Smetonos g.,269000,2562,5,105,2,4
2547,Pilaitė,Spaudos g.,87500,1552,3,56.39,4,16
2548,Karoliniškės,Pilaitės pr.,91000,1591,3,57.19,5,16
2549,Viršuliškės,Spaudos g.,119700,2080,3,57.54,16,16
2550,Justiniškės,Spaudos g.,96100,1702,3,56.45,2,16
2551,Justiniškės,Spaudos g.,96100,1702,3,56.45,2,16
2552,Senamiestis,Šaltinių g.,350000,4118,3,85,5,5
2553,Jeruzalė,Bitininkų g.,91000,1690,2,53.85,8,8
2554,Karoliniškės,Spaudos g.,155100,1919,4,80.83,12,16
2555,Šnipiškės,Giedraičių g.,66000,2115,1,31.21,2,9
2556,Lazdynėliai,Miškinių g.,186000,1431,4,130,1,2
2557,Užupis,Olandų g.,150000,2308,3,65,1,5
2558,Žirmūnai,Olimpiečių g.,378793,4474,3,84.66,2,4
2559,Antakalnis,Rudens g.,140000,1348,4,103.86,2,2
2560,Šnipiškės,Kalvarijų g.,11430,534,1,21.41,1,1
